id,name,brand,bike_type,price,available
bike_1,BMX,YOYO,ville,5,True
bike_2,Mountain X,Trek,vtt,15,True
bike_3,Roadster 2000,Specialized,route,18,True
bike_4,City Cruiser,Giant,ville,12,True
bike_5,Urban Glide,Cannondale,ville,13,True
bike_6,Hill Climber,Trek,vtt,16,True
bike_7,Speedy Road,Bianchi,route,20,True
bike_8,Town Rider,Giant,ville,11,True
bike_9,Trail Blazer,Scott,vtt,17,True
bike_10,Road King,Specialized,route,19,True
bike_11,Comfy City,Cannondale,ville,12,True
bike_12,Fast BMX,YOYO,ville,6,True
bike_13,Mountain Pro,Trek,vtt,17,True
bike_14,Speedster 500,Bianchi,route,21,True
bike_15,Town Explorer,Giant,ville,12,True
